city,state,city_id,genus,species,scientific_name,district,cultivar,inventory_date,plant_year,block,lot,address,month.of.update,condition_date,maintained_by,scientific_name_old,nonmatch,word_count_name,genus_only,native,latitude,longitude
Jersey City,New Jersey,102,Acer,rubrum,Acer rubrum,,Sunvalley,6,2016,19803,11,948 GARFIELD AVE.,3,2019,Jersey City Redevelopment Agency,Acer rubrum,FALSE,2,no,TRUE,40.7113654,-74.0693259
Jersey City,New Jersey,116,Acer,rubrum,Acer rubrum,,Sunvalley,6,2016,19803,20,980 GARFIELD AVE.,3,2019,Jersey City Redevelopment Agency,Acer rubrum,FALSE,2,no,TRUE,40.7119322,-74.0688905
Jersey City,New Jersey,77,Acer,rubrum,Acer rubrum,,Sunvalley,6,2016,18901,2,1000 GARFIELD AVE.,3,2019,Jersey City Redevelopment Agency,Acer rubrum,FALSE,2,no,TRUE,40.7124816,-74.0685249
Jersey City,New Jersey,89,Acer,rubrum,Acer rubrum,,Sunvalley,6,2016,19803,8,942 GARFIELD AVE.,3,2019,Jersey City Redevelopment Agency,Acer rubrum,FALSE,2,no,TRUE,40.7112642,-74.0694141
Jersey City,New Jersey,87,Acer,rubrum,Acer rubrum,,Sunvalley,6,2016,19803,3,75 WOODWARD ST.,3,2019,Jersey City Redevelopment Agency,Acer rubrum,FALSE,2,no,TRUE,40.7108088,-74.0678418
Jersey City,New Jersey,230,Juniperus,virginiana,Juniperus virginiana,,Hillspire,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Juniperus virginiana,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,268,Liquidambar,styraciflua,Liquidambar styraciflua,,,11,2015,4802,2,201 CENTRAL AVE.,3,2019,Jersey City Division of Architecture,Liquidambar styraciflua,FALSE,2,no,TRUE,40.8531551,-74.2770923
Jersey City,New Jersey,363,Pseudotsuga,menziesii,Pseudotsuga menziesii,,,6,2016,19803,5,WOODWARD ST,3,2019,Jersey City Redevelopment Agency,Pseudotsuga menziesii,FALSE,2,no,FALSE,40.7134628,-74.0639761
Jersey City,New Jersey,388,Quercus,rubra,Quercus rubra,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Quercus rubra,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,438,Quercus,rubra,Quercus rubra,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Quercus rubra,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,210,Juniperus,virginiana,Juniperus virginiana,,Hillspire,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Juniperus virginiana,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,183,Cornus,florida,Cornus florida,,,4,2016,11006,26,388 FIRST ST,3,2019,Jersey City Division of Architecture,Cornus florida,FALSE,2,no,TRUE,40.50462,-74.27379
Jersey City,New Jersey,302,Platanus,occidentalis,Platanus occidentalis,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Platanus occidentalis,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,294,Nyssa,sylvatica,Nyssa sylvatica,,,6,2016,19803,3,75 WOODWARD ST.,3,2019,Jersey City Redevelopment Agency,Nyssa sylvatica,FALSE,2,no,TRUE,40.7108088,-74.0678418
Jersey City,New Jersey,273,Magnolia,virginiana,Magnolia virginiana,,,0,0,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Magnolia virginiana,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,457,Quercus,bicolor,Quercus bicolor,,,6,2016,18901,2,1000 GARFIELD AVE.,3,2019,Jersey City Redevelopment Agency,Quercus bicolor,FALSE,2,no,TRUE,40.7124816,-74.0685249
Jersey City,New Jersey,441,Quercus,rubra,Quercus rubra,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Quercus rubra,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,549,Quercus,bicolor,Quercus bicolor,,,6,2016,19803,21,INSIDE GARFIELD AVE.,3,2019,Jersey City Redevelopment Agency,Quercus bicolor,FALSE,2,no,TRUE,40.685772,-74.099794
